module,quantity,part,part_id,description
front_block_pegs,2,M2.5 hex cap bolts 10mm,N/A,Fasctens front_block_pegs to front_block
front_block,2,M5 hex cap bolt 25mm,N/A,
body,2,M3 hex nut,N/A,Attach slide_catch to gate
body,12,M2.5 hex nut,N/A,Attach idle_roller and filter_holder and slide_rail to gate
body,4,M2.5 hex cap bolt 10mm,N/A,Attach slide_rail to gate
body,2,M2.5 hex cap bolt 25mm,N/A,Attach filter_holder to gate
body,6,M2.5 hex cap bolt 15mm,N/A,Attach idle_roller to gate
body,2,M5 hex nut,N/A,Attach front_block to gate
body,2,M5 hex cap bolt 20mm,N/A,Attach gate to projector
back_plate,1,M2.5 hex nut,N/A,Join the back_plate to the front_plate
front_plate,1,M2.5 hex cap bolt 10mm,N/A,Join the front_plate to the back_plate
